,base,tag
28419,Oczamczirze,ign
28420,którzyśmy,ign
28421,wiecowy,adj:sg:inst:m1:pos
28422,demagog,subst:pl:nom:m1
28423,Gamsachurdia,ign
28424,ekstremizm,subst:pl:gen:m3
28425,obsiać,ger:sg:nom:n:perf:neg
28426,Władykaukazu,ign
28427,Czybirow,ign
28428,odrapany,adj:pl:gen:m1:pos
28429,Erewan,subst:sg:loc:m3
28430,Karabach,subst:sg:gen:m3
28431,lamentować,fin:pl:ter:imperf
28432,sztacheta,subst:sg:gen:f
28433,wtapiać,praet:pl:m1:imperf
28434,rogatek,subst:pl:nom:m3
28435,Agdam,ign
28436,Stepanakertu,ign
28437,komendantura,subst:sg:inst:f
28438,Agdamie,ign
28439,żółto,adv:pos
28440,cętka,subst:sg:gen:f
28441,gazik,subst:sg:gen:m2
28442,Alif,ign
28443,holować,ppas:sg:nom:m1:imperf:aff
28444,sterroryzować,praet:sg:m1:perf
28445,siniec,subst:pl:nom:m2
28446,przygarbić,ppas:sg:nom:m1:perf:aff
28447,zdekoncentrować,inf:perf
28448,postarzały,adj:sg:acc:f:pos
28449,kochający,adj:sg:nom:m1:pos
28450,Dorogoj,ign
28451,towariszcz,ign
28452,czystka,subst:pl:gen:f
28453,odwykły,adj:pl:nom:m1:pos
28454,antrakt,subst:sg:loc:m3
28455,Ochab,subst:sg:nom:m1
28456,genesekiem,ign
28457,opanowywać,ppas:sg:nom:m1:imperf:aff
28458,zrewoltować,ppas:sg:nom:f:perf:aff
28459,pacyfikacja,subst:sg:gen:f
28460,Paulina,subst:sg:inst:f
28461,Koziak,ign
28462,zagórze,subst:sg:gen:n
28463,PKWN,subst:sg:nom:m3
28464,114,num:pl:nom:m1:rec
28465,tytulatura,subst:sg:acc:f
28466,sygnować,praet:sg:f:imperf
28467,Nieśwież,subst:sg:loc:m3
28468,Birżach,ign
28469,Łubniach,ign
28470,połknąć,inf:perf
28471,Pyki,ign
28472,nieomalże,qub
28473,nieokrzepły,adj:sg:nom:m1:pos
28474,wyciągowy,adj:sg:nom:n:pos
28475,dostatni,adj:sg:gen:m1:pos
28476,zurbanizować,ppas:sg:nom:m1:perf:aff
28477,bałaganiarski,adjp
28478,Kielecczyzna,subst:sg:dat:f
28479,piwowski,adj:sg:nom:m1:pos
28480,doza,subst:sg:inst:f
28481,2048,num:pl:nom:m1:rec
28482,lotniczo,adv:pos
28483,szybowcowy,adj:sg:nom:n:pos
28484,brukiew,subst:sg:nom:f
28485,nishime,ign
28486,warzywny,adj:sg:acc:f:pos
28487,warstwowo,adv:pos
28488,makrobiotyk,subst:pl:nom:m3
28489,upowszechnić,inf:perf
28490,Christoph,ign
28491,Hufeland,ign
28492,jen,subst:sg:loc:m2
28493,Janginizowane,ign
28494,cynamon,subst:sg:inst:m3
28495,Janginizujemy,ign
28496,budyń,subst:sg:nom:m3
28497,kisiel,subst:sg:gen:m3
28498,słodzić,ppas:sg:nom:n:imperf:aff
28499,koloryzować,pact:sg:nom:m1:imperf:aff
28500,konserwujący,adj:sg:nom:n:pos
28501,makrobiotyczny,adj:sg:inst:m1:pos
28502,zbożowy,adj:pl:gen:m1:pos
28503,zasmażka,subst:sg:acc:f
28504,smakowy,adj:pl:gen:m1:pos
28505,owies,subst:sg:nom:m3
28506,strączkowy,adj:pl:gen:m1:pos
28507,soczewica,subst:sg:nom:f
28508,bób,subst:sg:gen:m3
28509,ziarnisty,adj:pl:gen:m1:pos
28510,rzodkiewka,subst:pl:gen:f
28511,zaostrzenie,subst:sg:nom:n
28512,sojowy,adj:sg:nom:m1:pos
28513,janginizujemy,ign
28514,ruszt,subst:pl:loc:m3
28515,jang,subst:sg:nom:n
28516,czapati,ign
28517,zbrązowieć,fin:pl:ter:perf
28518,tempura,subst:sg:gen:f
28519,rozlatywać,fin:sg:ter:imperf
28520,rozrzedzić,inf:perf
28521,janginizowanymi,ign
28522,napęcznieć,ger:sg:gen:n:perf:aff
28523,kiełek,subst:pl:gen:m3
28524,sól,subst:sg:nom:f
28525,pieczarkowy,adj:sg:inst:m1:pos
28526,kolacyjny,adj:sg:gen:f:pos
28527,wodnisty,adj:sg:nom:f:pos
28528,upalny,adj:sg:inst:m1:pos
28529,przykrycie,subst:sg:inst:n
28530,zjanginizować,ign
28531,uprażyć,inf:perf
28532,ostygnąć,ger:sg:dat:n:perf:aff
28533,jin,subst:sg:nom:n
28534,dopełnienie,subst:sg:nom:n
28535,korzeń,subst:sg:nom:m3
28536,lukrecja,subst:sg:gen:f
28537,Lemeyda,ign
28538,rodzynek,subst:sg:nom:m1
28539,pietruszka,subst:sg:dat:f
28540,gomasio,ign
28541,wielokrotność,subst:sg:nom:f
28542,umówilismy,ign
28543,obudzilismy,ign
28544,Flynt,ign
28545,kongresmen,subst:pl:gen:m1
28546,zdemaskować,praet:pl:m1:perf
28547,konfliktowość,subst:sg:gen:f
28548,koniecpolski,adj:sg:gen:m1:pos
28549,Koniecpol,ign
28550,Szczekociny,subst:pl:inst:n
28551,Lelów,subst:sg:nom:m3
28552,Secemin,ign
28553,dąbrowa,subst:sg:dat:f
28554,Przyrów,subst:sg:nom:m3
28555,Irządze,ign
28556,Żytno,ign
28557,Moskorzew,ign
28558,analfabetyzm,subst:sg:nom:m3
28559,pozaustrojowy,adj:sg:nom:n:pos
28560,bezpłodność,subst:sg:inst:f
28561,Konieczna,subst:sg:nom:f
28562,endokrynologia,subst:sg:nom:f
28563,laparoskopia,subst:sg:nom:f
28564,endoskopia,subst:sg:nom:f
28565,andrologia,subst:sg:nom:f
28566,wytęskniony,adj:sg:nom:n:pos
28567,144,num:pl:nom:m1:rec
28568,Magdziarek,ign
28569,posterowej,ign
28570,gryfiński,adj:pl:gen:m1:pos
28571,strych,subst:sg:nom:m3
28572,odczynnik,subst:pl:nom:m3
28573,wylatywać,fin:sg:pri:imperf
28574,Falandysz,subst:sg:nom:m1
28575,Mnietek,ign
28576,tułów,subst:sg:gen:m3
28577,kaczy,adj:sg:gen:f:pos
28578,Świder,subst:sg:loc:m1
28579,letnik,subst:pl:nom:m1
28580,siedemdziesięciopięciolecie,subst:sg:gen:n
28581,Kawalerowicza,ign
28582,Capitol,ign
28583,macher,subst:sg:inst:m1
28584,Wołodyjowski,subst:sg:nom:m1
28585,grymasić,praet:sg:m1:imperf
28586,kontrpropozycja,subst:sg:acc:f
28587,Bocaiura,ign
28588,Sul,ign
28589,Parana,ign
28590,viagra,subst:sg:acc:f
28591,zwierzchnie,adv:pos
28592,tortownica,subst:pl:nom:f
28593,Poznańskie,subst:sg:nom:n
28594,828m,ign
28595,1godz,ign
28596,Lubań,subst:sg:loc:m3
28597,1215m,ign
28598,zn,ign
28599,30godz,ign
28600,Dzwonkówkę,ign
28601,984m,ign
28602,2godz,ign
28603,Przehybę,ign
28604,Sądeckie,subst:pl:dat:n
28605,1175m,ign
28606,982m,ign
28607,Szopczańskiego,ign
28608,sokolica,subst:sg:acc:f
28609,747m,ign
28610,Szczytno,subst:sg:gen:n
28611,455,num:pl:nom:m1:rec
28612,5800,num:pl:nom:m1:rec
28613,mk,ign
28614,poł,ign
28615,wsch,ign
28616,Szczytniki,subst:pl:gen:n
28617,590,num:pl:nom:m1:rec
28618,gotycko,adv:pos
28619,zbud,ign
28620,1511,num:pl:nom:m1:rec
28621,1657,num:pl:nom:m1:rec
28622,attyk,subst:pl:nom:m3
28623,Bogatynia,subst:sg:gen:f
28624,19900,num:pl:nom:m1:rec
28625,turoszowski,adj:sg:gen:m1:pos
28626,zach,ign
28627,bawełniany,adj:sg:nom:m1:pos
28628,galanteria,subst:sg:gen:f
28629,282,num:pl:nom:m1:rec
28630,funda,subst:pl:gen:f
28631,1070,num:pl:nom:m1:rec
28632,XIw,ign
28633,przebud,ign
28634,1618,num:pl:nom:m1:rec
28635,sudecki,adj:sg:gen:f:pos
28636,łomnicki,adj:sg:nom:n:pos
28637,janowicki,adj:pl:gen:m1:pos
28638,Mysłakowice,subst:pl:nom:n
28639,lniarski,adj:sg:gen:m1:pos
28640,tyrolski,adj:sg:inst:m1:pos
28641,Tyrol,subst:sg:gen:m3
28642,Zduny,subst:pl:nom:n
28643,4300,num:pl:nom:m1:rec
28644,pd,ign
28645,1267,num:pl:nom:m1:rec
28646,tkactwo,subst:sg:gen:n
28647,gorzelnictwo,subst:sg:nom:n
28648,browarnictwo,subst:sg:nom:n
28649,1684,num:pl:nom:m1:rec
28650,klasycystyczny,adj:sg:nom:m1:pos
28651,przybudówka,subst:sg:nom:f
28652,podcieniowy,adj:sg:acc:f:pos
28653,parafa,subst:pl:gen:f
28654,Chobienic,ign
28655,Siedlca,ign
28656,Rakoniewice,subst:pl:gen:n
28657,1730,num:pl:nom:m1:rec
28658,poliptyk,subst:sg:nom:m3
28659,1499,num:pl:nom:m1:rec
28660,narzutowy,adj:sg:nom:m1:pos
28661,MARCHWACZ,ign
28662,List_do_Rzymian,brev:npun
28663,cienić,fin:pl:ter:imperf
28664,Niemojewskich,ign
28665,neoklasycystyczny,adj:sg:nom:m1:pos
28666,proj,ign
28667,Szyller,ign
28668,pieniński,adj:sg:nom:m1:pos
28669,Szczawnica,subst:sg:nom:f
28670,przysiółek,subst:sg:nom:m3
28671,Krośnicy,ign
28672,Sromowce,ign
28673,niżni,adj:sg:nom:n:pos
28674,DŁUGOPOLE,ign
28675,366,num:pl:nom:m1:rec
28676,szczawa,subst:sg:gen:f
28677,wodorowęglanowej,ign
28678,1563,num:pl:nom:m1:rec
28679,wczasowy,adj:sg:nom:m1:pos
28680,zdrojowy,adj:sg:inst:m1:pos
28681,zaciężny,subst:sg:gen:m1
28682,nawała,subst:sg:inst:f
28683,1241,num:pl:nom:m1:rec
28684,pobenedyktyńskim,ign
28685,1727,num:pl:nom:m1:rec
28686,Dientzenhofer,ign
28687,dziekanka,subst:sg:gen:f
28688,1770,num:pl:nom:m1:rec
28689,zajazd,subst:sg:nom:m3
28690,wnęka,subst:sg:nom:f
28691,zawracanie,subst:sg:gen:n
28692,odbuda,subst:pl:gen:f
28693,373,num:pl:nom:m1:rec
28694,bazaltowy,adj:sg:gen:m1:pos
28695,odl,ign
28696,375,num:pl:nom:m1:rec
28697,Łysanka,ign
28698,444,num:pl:nom:m1:rec
28699,trupieć,ger:pl:gen:n:imperf:aff
28700,481,num:pl:nom:m1:rec
28701,bazalt,subst:sg:gen:m3
28702,prusicki,adj:sg:gen:f:pos
28703,wolnica,subst:sg:nom:f
28704,1568,num:pl:nom:m1:rec
28705,1623,num:pl:nom:m1:rec
28706,1875,num:pl:nom:m1:rec
28707,1962,num:pl:nom:m1:rec
28708,laterański,adj:pl:gen:m1:pos
28709,nawowy,adj:sg:nom:m1:pos
28710,1340,num:pl:nom:m1:rec
28711,1405,num:pl:nom:m1:rec
28712,fasada,subst:sg:gen:f
28713,1566,num:pl:nom:m1:rec
28714,1634,num:pl:nom:m1:rec
28715,Dolabella,subst:sg:gen:m1
28716,1420,num:pl:nom:m1:rec
28717,stalle,subst:pl:nom:n
28718,1629,num:pl:nom:m1:rec
28719,Zawiercia,ign
28720,56300,num:pl:nom:m1:rec
28721,położ,ign
28722,Zawiercie,ign
28723,założ,ign
28724,rozbud,ign
28725,przędzalnia,subst:sg:nom:f
28726,śruba,subst:pl:loc:f
28727,magistrala,subst:sg:nom:f
28728,Radzic,ign
28729,rudonośny,adj:sg:nom:n:pos
28730,Bouillon,ign
28731,1746,num:pl:nom:m1:rec
28732,Mattielli,ign
28733,klasztorny,adj:sg:acc:f:pos
28734,1740,num:pl:nom:m1:rec
28735,Solari,ign
28736,Radziwiłł,subst:pl:gen:m1
28737,nr13,ign
28738,Miasto'',ign
28739,bezleśny,adj:sg:nom:n:pos
28740,119,num:pl:nom:m1:rec
28741,BACZYNA,ign
28742,skręcać,praet:sg:n:imperf
28743,122,num:pl:nom:m1:rec
28744,MARWICE,ign
28745,Barlinecką,ign
28746,Marwicy,ign
28747,neogotycki,adj:sg:gen:f:pos
28748,Dezydery,subst:sg:nom:m1
28749,780,num:pl:nom:m1:rec
28750,Rąbin,ign
28751,Chłapowskich,ign
28752,Grudzińska,subst:pl:gen:f
28753,GORZYŃ,ign
28754,Gorzyńskim,ign
28755,głębić,impt:sg:sec:imperf
28756,Ostęp'',ign
28757,Gorzyniu,ign
28758,bocznica,subst:sg:gen:f
28759,Przeźmierowa,ign
28760,rozwidlenie,subst:sg:dat:n
28761,skwierzyński,adj:sg:gen:m1:pos
28762,międzyrzecki,adj:pl:nom:m1:pos
28763,PRZERZECZYN,ign
28764,przedgórze,subst:sg:gen:n
28765,Ślęza,subst:sg:acc:f
28766,wzmiankować,ppas:sg:nom:f:imperf:aff
28767,1254,num:pl:nom:m1:rec
28768,1823,num:pl:nom:m1:rec
28769,siarczkowy,adj:pl:gen:m1:pos
28770,radoczynny,adj:sg:nom:n:pos
28771,pijalnia,subst:sg:gen:f
28772,SZKLARY,ign
28773,nikiel,subst:sg:gen:m3
28774,24400,num:pl:nom:m1:rec
28775,Kwisy,ign
28776,izerski,adj:sg:nom:n:pos
28777,iglaste,subst:pl:gen:n
28778,Helenowskim,ign
28779,szperka,subst:pl:gen:f
28780,podworski,adj:sg:nom:m1:pos
28781,czterokondygnacyjny,adj:sg:nom:m1:pos
28782,Schinkel,ign
28783,1827,num:pl:nom:m1:rec
28784,Bolesławiec,subst:sg:nom:m3
28785,44400,num:pl:nom:m1:rec
28786,Bóbr,subst:sg:nom:m3
28787,elektrotechniczny,adj:sg:nom:n:pos
28788,wczesnopiastowski,adj:sg:inst:m1:pos
28789,kasztelania,subst:sg:nom:f
28790,kamionkowy,adj:pl:gen:m1:pos
28791,fajansowy,adj:sg:nom:f:pos
28792,buncloki,ign
28793,Izbica,subst:sg:nom:f
28794,kujawski,adj:sg:nom:m1:pos
28795,1394,num:pl:nom:m1:rec
28796,restaurować,ppas:sg:nom:m1:imperf:aff
28797,Wietrzychowice,subst:pl:gen:n
28798,megalityczny,adj:sg:nom:n:pos
28799,neolit,subst:sg:nom:m3
28800,LUBRANIEC,ign
28801,3300,num:pl:nom:m1:rec
28802,Lubrańskich,ign
28803,93km,ign
28804,TRZEBISZEWO,ign
28805,brandenburski,adj:sg:nom:m1:pos
28806,warciańsko,adv:pos
28807,odrzański,adj:sg:nom:m1:pos
28808,DESZCZNO,ign
28809,Karninem,ign
28810,zagrabić,ppas:sg:nom:m1:perf:aff
28811,Przeł,ign
28812,walimski,adj:sg:nom:f:pos
28813,turystycznie,adv:pos
28814,1015,num:pl:nom:m1:rec
28815,zalesiony,adj:sg:nom:n:pos
28816,kalenica,subst:sg:gen:f
28817,962,num:pl:nom:m1:rec
28818,gnejsowy,adj:sg:nom:n:pos
28819,bukowy,adj:sg:inst:m1:pos
28820,sowi,adj:pl:gen:m1:pos
28821,bort,subst:sg:nom:m3
28822,TPT,ign
28823,Nyka,ign
28824,Pinkwart,ign
28825,PPWK,ign
28826,30000,num:pl:nom:m1:rec
28827,pierzeja,subst:sg:gen:f
28828,nr2,ign
28829,późnorenesansowy,adj:sg:acc:f:pos
28830,elektor,subst:pl:gen:m1
28831,Feniks'',ign
28832,kamieniczka,subst:sg:gen:f
28833,altarysta,subst:pl:gen:m1
28834,Mikołów,subst:sg:loc:m3
28835,290,num:pl:nom:m1:rec
28836,38900,num:pl:nom:m1:rec
28837,pagórkowaty,adj:sg:nom:f:pos
28838,Jamny,ign
28839,Kłodnica,subst:sg:gen:f
28840,Wiromet,ign
28841,NitronErg,ign
28842,palenisko,subst:sg:gen:n
28843,transformator,subst:pl:gen:m3
28844,trakcyjny,adj:sg:gen:f:pos
28845,ELTA,subst:sg:nom:f
28846,papierniczy,adj:sg:nom:f:pos
28847,Barbara'',ign
28848,Mirosławic,ign
28849,SOSNÓW,ign
28850,1360,num:pl:nom:m1:rec
28851,prezbiterium,subst:sg:nom:n
28852,PSZENNO,ign
28853,Piława,subst:sg:inst:f
28854,1491,num:pl:nom:m1:rec
28855,późnogotycki,adj:sg:acc:f:pos
28856,cukrownia,subst:pl:inst:f
28857,Świdnica'',ign
28858,elektroland,subst:sg:nom:m3
28859,Ikea,subst:sg:gen:f
28860,wielobranżowy,adj:sg:nom:n:pos
28861,Janki'',ign
28862,bański,adj:sg:nom:f:pos
28863,7130,num:pl:nom:m1:rec
28864,Wełtynia,ign
28865,Czarnowo,subst:sg:gen:n
28866,krawędź,subst:pl:nom:f
28867,flamandzki,adjp
28868,podcienie,subst:pl:loc:n
28869,620,num:pl:nom:m1:rec
28870,Bolek,subst:sg:nom:m1
28871,cysterna,subst:sg:nom:f
28872,Solec,ign
28873,wioślarski,adj:sg:acc:f:pos
28874,1699,num:pl:nom:m1:rec
28875,1766,num:pl:nom:m1:rec
28876,boleściwy,adj:sg:gen:m1:pos
28877,1773,num:pl:nom:m1:rec
28878,Poniatowski,subst:sg:gen:m1
28879,kościuszkowski,adj:sg:gen:f:pos
28880,kort,subst:pl:gen:m3
28881,Energetyk'',ign
28882,Kochanowice,subst:pl:nom:n
28883,późnoklasycystyczny,adj:sg:nom:m1:pos
28884,snycerka,subst:sg:gen:f
28885,spichlerz,subst:sg:gen:m3
28886,30km,ign
28887,lubecki,adj:sg:nom:f:pos
28888,6km,ign
28889,775,num:pl:nom:m1:rec
28890,Świeradów,subst:sg:gen:m3
28891,965,num:pl:nom:m1:rec
28892,poręba,subst:sg:nom:f
28893,zbocz,subst:pl:loc:f
28894,rozdroże,subst:sg:dat:n
28895,Kalatówki,ign
28896,albertynka,subst:pl:gen:f
28897,Zn,ign
28898,Kalatówkach,ign
28899,Kalackiej,ign
28900,turnia,subst:sg:gen:f
28901,Kondratową,ign
28902,330m,ign
28903,lipowy,adj:sg:gen:f:pos
28904,Książ,subst:pl:nom:m3
28905,1869,num:pl:nom:m1:rec
28906,1558,num:pl:nom:m1:rec
28907,1582,num:pl:nom:m1:rec
28908,myszkowski,adj:pl:gen:m1:pos
28909,wielopolski,subst:pl:gen:m3
28910,1640,num:pl:nom:m1:rec
28911,1374,num:pl:nom:m1:rec
28912,Ecce,ign
28913,Stattler,ign
28914,alabaster,subst:sg:gen:m3
28915,Marconi,subst:sg:nom:m1
28916,zwiastowanie,subst:sg:nom:n
28917,Wilanów,subst:sg:loc:m3
28918,neorenesansowy,adj:sg:nom:m1:pos
28919,Sobieski,subst:sg:gen:m1
28920,1681,num:pl:nom:m1:rec
28921,Lanci,ign
28922,Wierzbiak,ign
28923,Kaczawy,ign
28924,71km,ign
28925,76km,ign
28926,Kaczawę,ign
28927,22km,ign
28928,39km,ign
28929,powozownia,subst:sg:nom:f
28930,dendrologiczny,adj:sg:nom:m1:pos
28931,dendrologia,subst:sg:gen:f
28932,1486,num:pl:nom:m1:rec
28933,widomy,adj:sg:nom:m1:pos
28934,Dłubni,ign
28935,beskidzki,adj:pl:nom:m1:pos
28936,110km,ign
28937,Węgrzce,subst:pl:nom:n
28938,Szrenicy,ign
28939,krzesełkowy,adj:sg:inst:m1:pos
28940,Szrenickiej,ign
28941,pasterski,adj:pl:gen:m1:pos
28942,Małogoszcz,subst:sg:gen:m3
28943,małogoski,adj:sg:gen:m1:pos
28944,cementownia,subst:sg:nom:f
28945,1408,num:pl:nom:m1:rec
28946,kwaterować,fin:sg:ter:imperf
28947,1863,num:pl:nom:m1:rec
28948,Chochołów,subst:sg:nom:m3
28949,Dzianisz,ign
28950,porać,ger:sg:nom:n:imperf:aff
28951,przepęd,subst:pl:nom:m3
28952,redyk,subst:pl:nom:m3
28953,letniskowo,ign
28954,wczasowo,ign
28955,1430,num:pl:nom:m1:rec
28956,Diakon'',ign
28957,kasztanowiec,subst:pl:nom:m2
28958,platan,subst:sg:gen:m2
28959,magnolia,subst:pl:nom:f
28960,tuja,subst:pl:inst:f
28961,obw,ign
28962,Czerników,ign
28963,czernikowski,adj:sg:inst:m1:pos
28964,BRATOSZEWICE,ign
28965,późnobarokowy,adj:sg:nom:m1:pos
28966,pofolwarczny,adj:sg:nom:n:pos
28967,1752,num:pl:nom:m1:rec
28968,BIADKI,ign
28969,Krotoszyn,subst:sg:gen:m3
28970,27000,num:pl:nom:m1:rec
28971,Przemysł,subst:sg:nom:m1
28972,odzieżowy,adj:pl:gen:m1:pos
28973,Delta'',ign
28974,1824,num:pl:nom:m1:rec
28975,Szpilowskiego,ign
28976,Bogusławski,subst:sg:gen:m1
28977,1961,num:pl:nom:m1:rec
28978,prosen,subst:pl:nom:m3
28979,1825,num:pl:nom:m1:rec
28980,myślenicki,adj:sg:nom:n:pos
28981,turn,subst:sg:loc:m3
28982,1352,num:pl:nom:m1:rec
28983,przesiadkowy,adj:sg:nom:f:pos
28984,goryczkowy,adj:sg:acc:f:pos
28985,1894m,ign
28986,Kasprowej,ign
28987,limbowy,adj:sg:nom:n:pos
28988,szczytowy,adj:sg:nom:m1:pos
28989,1959m,ign
28990,Kasprowy,subst:sg:nom:m3
28991,wierch,subst:sg:nom:m3
28992,20min,ign
28993,19godz,ign
28994,MIELĘCIN,ign
28995,myśliborski,adj:sg:gen:m1:pos
28996,wydłużony,adj:pl:inst:m1:pos
28997,13200,num:pl:nom:m1:rec
28998,cukrowy,adj:sg:nom:f:pos
28999,Paczków,subst:sg:loc:m3
29000,odgałęziać,fin:sg:ter:imperf
29001,ulicówka,subst:sg:nom:f
29002,dł,ign
29003,awangarda,subst:sg:dat:f
29004,bolszewizm,subst:sg:gen:m3
29005,żydokomuna,subst:sg:nom:f
29006,kosmopolityczny,adj:pl:gen:m1:pos
29007,pejs,subst:pl:inst:m3
29008,nazistowski,adj:sg:nom:m1:pos
29009,endecki,adj:sg:gen:m1:pos
29010,MEN,subst:sg:nom:m3
29011,akredytacyjny,adj:sg:gen:f:pos
29012,genom,subst:sg:gen:m3
29013,duplikacja,subst:sg:gen:f
29014,zadowalać,fin:pl:ter:imperf
29015,KTS,ign
29016,głodować,fin:sg:ter:imperf
29017,Śremu,ign
29018,pool,subst:sg:nom:m3
29019,bilard,subst:sg:loc:m3
29020,Ciechocinek,subst:sg:loc:m3
29021,Witamborska,ign
29022,Linda,subst:sg:nom:m1
29023,Sulejówek,ign
29024,Borkowska,subst:sg:nom:f
29025,Skowron,subst:sg:nom:m1
29026,jezusowy,adj:sg:gen:m1:pos
29027,parzyć,pcon:imperf
29028,wzburzać,fin:sg:ter:imperf
29029,gwałtowność,subst:sg:inst:f
29030,napłakać,praet:sg:m1:perf
29031,polanka,subst:sg:acc:f
29032,rzepiński,adj:sg:gen:f:pos
29033,dostarczyciel,subst:sg:inst:m1
29034,Wilder,subst:sg:gen:m1
29035,audytorium,subst:sg:nom:n
29036,nisza,subst:pl:gen:f
29037,nadziać,ppas:sg:nom:n:perf:aff
29038,jękliwy,adj:sg:nom:m1:pos
29039,przybytek,subst:sg:nom:m3
29040,mistyczny,adj:sg:nom:n:pos
29041,spiralna,subst:pl:gen:f
29042,ustroić,ppas:sg:nom:n:perf:aff
29043,Flora,subst:sg:nom:f
29044,szpetny,adj:sg:nom:n:pos
29045,panoszyć,praet:pl:m2:imperf
29046,czernieć,ger:sg:nom:n:imperf:aff
29047,obnażać,praet:sg:m1:imperf
29048,wynurzać,praet:sg:f:imperf
29049,wyskakiwać,praet:pl:m1:imperf
29050,zgłodnieć,fin:sg:ter:perf
29051,metafizyk,subst:sg:gen:m1
29052,kremlowski,adj:sg:gen:m1:pos
29053,nieznająca,subst:pl:inst:f
29054,hit,subst:pl:gen:m3
29055,tęskny,adj:pl:nom:m1:pos
29056,wysysać,pcon:imperf
29057,nostalgia,subst:sg:inst:f
29058,zapobiegliwy,adj:pl:nom:m1:pos
29059,rozpadać,pact:sg:gen:m1:imperf:aff
29060,Maneżskiej,ign
29061,Płoszczadi,ign
29062,przybliżać,imps:imperf
29063,wygrzebać,imps:perf
29064,kubeł,subst:sg:nom:m3
29065,bezczas,subst:sg:loc:m3
29066,Afek,ign
29067,podkablować,praet:sg:f:perf
29068,gliniarstwu,ign
29069,kurdupel,subst:sg:gen:m1
29070,spławik,subst:sg:inst:m3
29071,spostrzegać,fin:sg:pri:imperf
29072,żarcie,subst:sg:nom:n
29073,spamuje,ign
29074,spaming,ign
29075,różowy,adj:sg:inst:m1:pos
29076,wysilać,inf:imperf
29077,jejciu,ign
29078,intelektualnie,adv:pos
29079,autoreklamiarski,adj:sg:nom:n:pos
29080,schłodzić,ppas:sg:nom:n:perf:aff
29081,ramówka,subst:pl:gen:f
29082,Fajks,ign
29083,roll,subst:sg:nom:m2
29084,copywriter,subst:pl:inst:m1
29085,chrząknięcie,subst:sg:nom:n
29086,przysejmowy,adj:pl:gen:m1:pos
29087,piarowiec,subst:pl:nom:m1
29088,dopowiedzieć,praet:sg:f:perf
29089,pomówienie,subst:sg:gen:n
29090,niepoprawny,adj:sg:gen:m1:pos
29091,nawyknienie,subst:sg:gen:n
29092,pięciolecie,subst:sg:gen:n
29093,kasacja,subst:sg:acc:f
29094,obwieścić,praet:sg:m1:perf
29095,uwziąć,praet:sg:m1:perf
29096,dyrdymał,subst:pl:nom:m3
29097,renoma,subst:sg:acc:f
29098,podwykonawca,subst:sg:gen:m1
29099,koneksja,subst:sg:gen:f
29100,niskopłatny,adj:pl:gen:m1:pos
29101,niskowykwalifikowanych,ign
29102,ponadtrzykrotnie,adv:pos
29103,ponadczterokrotnie,adv:pos
29104,Uchala,ign
29105,przywództwo,subst:sg:nom:n
29106,bandzior,subst:sg:nom:m1
29107,wyszkowski,adj:sg:gen:m1:pos
29108,półświatek,subst:sg:loc:m3
29109,przezywać,praet:pl:m1:imperf
29110,Ziobro,subst:sg:acc:m1
29111,kapral,subst:sg:gen:m1
29112,rokita,subst:sg:gen:f
29113,latryna,subst:sg:nom:f
29114,Harasimowicz,ign
29115,przydatek,subst:sg:nom:m3
29116,demo,subst:sg:nom:n
29117,chata,subst:sg:inst:f
29118,tańczący,adj:sg:nom:n:pos
29119,podziomek,subst:sg:inst:m3
29120,Modusa,ign
29121,psychiatria,subst:sg:gen:f
29122,zużycie,subst:sg:nom:n
29123,przeciążenie,subst:pl:gen:n
29124,popularnie,adv:pos
29125,gościec,subst:sg:inst:m3
29126,protestancki,adj:sg:nom:n:pos
29127,sumienność,subst:sg:nom:f
29128,niezawiniony,adj:sg:nom:m1:pos
29129,gestykulować,pact:sg:gen:m1:imperf:aff
29130,pankration,subst:sg:gen:m3
29131,zapaśnik,subst:sg:nom:m1
29132,Omsk,subst:sg:gen:m3
29133,przetrącić,praet:sg:m1:perf
29134,Prodoks,ign
29135,Optimus,subst:sg:loc:m3
29136,teraźniejszy,adj:sg:nom:m1:pos
29137,respondentka,subst:pl:gen:f
29138,Uchal,ign
29139,Osowiecki,ign
29140,Uchalem,ign
29141,koszerność,subst:sg:gen:f
29142,wieprzowina,subst:sg:gen:f
29143,rabinacki,adj:sg:gen:f:pos
29144,Łapicki,ign
29145,jednomyślność,subst:sg:gen:f
29146,consensus,subst:sg:gen:m3
29147,zawodny,adj:pl:gen:m1:pos
29148,1652,num:pl:nom:m1:rec
29149,gruntować,pact:sg:nom:n:imperf:aff
29150,szlachecki,adj:sg:nom:f:pos
29151,zanik,subst:sg:nom:m3
29152,prawodawczy,adj:pl:gen:m1:pos
29153,Keralczycy,ign
29154,biegłość,subst:sg:gen:f
29155,Trivandrum,ign
29156,Thiruvanthapuram,ign
29157,wymówić,praet:sg:m1:perf
29158,niepodobna,pred
29159,puram,ign
29160,wiekszości,ign
29161,pęczak,subst:sg:nom:m3
29162,bezpodstawny,adj:sg:nom:n:pos
29163,Cannabia,ign
29164,marketingowy,adj:pl:gen:m1:pos
29165,puszczanin,subst:pl:nom:m1
29166,odurzyć,inf:perf
29167,piwny,adj:sg:nom:m1:pos
29168,ścięty,adj:sg:nom:n:pos
29169,poszukujący,adj:sg:nom:m1:pos
